StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
vlab-01,Ethernet0,server_1,brd,40000,100,Access
vlab-01,Ethernet4,server_1,brd,40000,101,Access
vlab-01,Ethernet8,server_1,brd,40000,102,Access
vlab-01,Ethernet12,server_1,brd,40000,103,Access
vlab-01,Ethernet16,server_1,brd,40000,104,Access
vlab-01,Ethernet20,server_1,brd,40000,105,Access
vlab-01,Ethernet24,server_1,brd,40000,106,Access
vlab-01,Ethernet28,server_1,brd,40000,107,Access
vlab-01,Ethernet32,server_1,brd,40000,108,Access
vlab-01,Ethernet36,server_1,brd,40000,109,Access
vlab-01,Ethernet40,server_1,brd,40000,110,Access
vlab-01,Ethernet44,server_1,brd,40000,111,Access
vlab-01,Ethernet48,server_1,brd,40000,112,Access
vlab-01,Ethernet52,server_1,brd,40000,113,Access
vlab-01,Ethernet56,server_1,brd,40000,114,Access
vlab-01,Ethernet60,server_1,brd,40000,115,Access
vlab-01,Ethernet64,server_1,brd,40000,116,Access
vlab-01,Ethernet68,server_1,brd,40000,117,Access
vlab-01,Ethernet72,server_1,brd,40000,118,Access
vlab-01,Ethernet76,server_1,brd,40000,119,Access
vlab-01,Ethernet80,server_1,brd,40000,120,Access
vlab-01,Ethernet84,server_1,brd,40000,121,Access
vlab-01,Ethernet88,server_1,brd,40000,122,Access
vlab-01,Ethernet92,server_1,brd,40000,123,Access
vlab-01,Ethernet96,server_1,brd,40000,124,Access
vlab-01,Ethernet100,server_1,brd,40000,125,Access
vlab-01,Ethernet104,server_1,brd,40000,126,Access
vlab-01,Ethernet108,server_1,brd,40000,127,Access
vlab-01,Ethernet112,server_1,brd,40000,128,Access
vlab-01,Ethernet116,server_1,brd,40000,129,Access
vlab-01,Ethernet120,server_1,brd,40000,130,Access
vlab-01,Ethernet124,server_1,brd,40000,131,Access
